russian_word,english_word
вата,cotton wool
флис,fleece
дерево,tree
книга,book
стол,table
стул,chair
окно,window
дверь,door
кошка,cat
собака,dog
птица,bird
рыба,fish
цветок,flower
трава,grass
небо,sky
солнце,sun
луна,moon
звезда,star
облако,cloud
дождь,rain
снег,snow
лед,ice
огонь,fire
вода,water
земля,earth
камень,stone
песок,sand
пыль,dust
металл,metal
пластик,plastic
стекло,glass
бумага,paper
ткань,fabric
кожа,leather
резина,rubber
дерево,wood
пшеница,wheat
рис,rice
кукуруза,corn
картофель,potato
морковь,carrot
помидор,tomato
огурец,cucumber
лук,onion
чеснок,garlic
перец,pepper
яблоко,apple
груша,pear
апельсин,orange
лимон,lemon
банан,banana
виноград,grape
клубника,strawberry
малина,raspberry
черника,blueberry
вишня,cherry
слива,plum
персик,peach
абрикос,apricot
манго,mango
ананас,pineapple
киви,kiwi
авокадо,avocado
арбуз,watermelon
дыня,melon
папайя,papaya
гранат,pomegranate
кокос,coconut
маслина,olive
миндаль,almond
фундук,hazelnut
грецкий орех,walnut
кешью,cashew
фисташки,pistachio
арахис,peanut
мед,honey
сахар,sugar
соль,salt
перец,pepper
корица,cinnamon
ваниль,vanilla
гвоздика,clove
мята,mint
базилик,basil
розмарин,rosemary
тимьян,thyme
шалфей,sage
лавровый лист,bay leaf
имбирь,ginger
куркума,turmeric
кардамон,cardamom
кориандр,coriander
тмин,cumin
анис,anise
фенхель,fennel
горчица,mustard
уксус,vinegar
масло,oil
сыр,cheese
молоко,milk
йогурт,yogurt
сметана,sour cream
творог,cottage cheese
сливки,cream
масло,butter
яйцо,egg
мука,flour
хлеб,bread
макароны,pasta
рис,rice
картофель,potato
морковь,carrot
лук,onion
чеснок,garlic
перец,pepper
помидор,tomato
огурец,cucumber
салат,lettuce
капуста,cabbage
брокколи,broccoli
цветная капуста,cauliflower
шпинат,spinach
горох,pea
фасоль,bean
чечевица,lentil
нут,chickpea
кукуруза,corn
баклажан,eggplant
кабачок,zucchini
тыква,pumpkin
редис,radish
репа,turnip
свекла,beet
сельдерей,celery
петрушка,parsley
укроп,dill
кинза,cilantro
базилик,basil
розмарин,rosemary
тимьян,thyme
шалфей,sage
лавровый лист,bay leaf
чай,tea
кофе,coffee
какао,cocoa
шоколад,chocolate
сок,juice
вода,water
пиво,beer
вино,wine
водка,vodka
ром,rum
виски,whiskey
текила,tequila
джин,gin
ликер,liqueur
коньяк,cognac
шампанское,champagne